id;doc_number;status;comments;processed_date
1;73573;INPROGRESS;grey;2020-12-28T03:08:55
2;92951;PROCESSED;1080p;2020-12-28T12:42:22
3;50147;PROCESSED;magnetic optical Credit Card Account;2020-12-29T00:37:14
4;20497;PENDING;Bedfordshire pink Rustic;2020-12-28T22:21:53
5;97441;PROCESSED;Kids;2020-12-28T09:46:12
6;64788;INPROGRESS;Kiribati Viaduct Cross-group;2020-12-28T04:27:30
7;88289;ERROR;redundant;2020-12-29T00:23:34
8;29587;PROCESSED;Buckinghamshire;2020-12-28T19:19:07
9;41284;PENDING;silver Seychelles Rupee Israel;2020-12-28T18:40:02
10;89170;PENDING;invoice;2020-12-28T04:17:52
